thai,german,transliteration,pos,tags,lesson,exampleThai,exampleGerman
กิน,essen,gin,Verb,"Food,A1",1,ฉันกินข้าว,Ich esse Reis.
ดื่ม,trinken,duem,Verb,"Food,A1",1,ฉันดื่มน้ำ,Ich trinke Wasser.
น้ำ,Wasser,nam,Nomen,"Food,A1",1,น้ำเย็น,Kaltes Wasser.
ข้าว,Reis,khao,Nomen,"Food,A1",1,ข้าวอร่อย,Der Reis ist lecker.
ไป,gehen/fahren (sich begeben),paai,Verb,"Basics,A1",1,ฉันไปโรงเรียน,Ich gehe zur Schule.
มา,kommen,maa,Verb,"Basics,A1",1,เขามาที่บ้าน,Er kommt nach Hause.
อยู่,sein/wohnen,yuu,Verb,"Basics,A1",1,ฉันอยู่ที่นี่,Ich bin hier.
มี,haben,mii,Verb,"Basics,A1",1,ฉันมีเวลา,Ich habe Zeit.
ได้,können / bekommen,dai,Verb,"Grundwortschatz,A1",1,ฉันทำได้,Ich kann es machen.
ไม่ได้,nicht können / nicht haben,mai dai,Verb,"Grundwortschatz,A1",1,ฉันไปไม่ได้,Ich kann nicht gehen.
ไม่,nein/nicht,mai,Partikel,"Basics,A1",1,ไม่เป็นไร,Kein Problem.
ใช่,ja,chai,Partikel,"Basics,A1",1,ใช่ครับ,Ja.
บ้าน,Haus,baan,Nomen,"Basics,A1",1,บ้านใหญ่,Das Haus ist groß.
รถ,Fahrzeug/Auto,rot,Nomen,"Transport,A1",1,รถใหม่,Ein neues Auto.
คน,Mensch,khon,Nomen,"Basics,A1",1,คนเยอะ,Viele Menschen.
วันนี้,heute,wanii,Adverb,"Time,A1",1,วันนี้ร้อน,Heute ist es heiß.
พรุ่งนี้,morgen,phrung-nii,Adverb,"Time,A1",1,พรุ่งนี้ทำงาน,Morgen arbeite ich.
มะรืนนี้,übermorgen,ma ruen ni,Nomen,"Zeit,A1",1,มะรืนนี้ฉันทำงาน,Übermorgen arbeite ich.
ทำ,machen,tam,Verb,"Basics,A1",1,ฉันทำงาน,Ich arbeite.
งาน,Arbeit,ngaan,Nomen,"Basics,A1",1,งานเยอะ,Viel Arbeit.
เรียน,lernen,rian,Verb,"School,A1",1,ฉันเรียนภาษาไทย,Ich lerne Thai.
ภาษา,Sprache,phaa-saa,Nomen,"School,A1",1,ภาษาไทย,Die thailändische Sprache.
ดี,gut,dii,Adjektiv,"Basics,A1",1,ดีมาก,Sehr gut.
ใหญ่,groß,yai,Adjektiv,"Basics,A1",1,บ้านใหญ่,Ein großes Haus.
เล็ก,klein,lek,Adjektiv,"Basics,A1",1,ห้องเล็ก,Ein kleines Zimmer.
ยาว,lang,yao,Adjektiv,"Adjektive,A1",1,ถนนนี้ยาว,Die Straße ist lang.
สั้น,kurz,san,Adjektiv,"Adjektive,A1",1,ประโยคนี้สั้น,Das ist kurz.
ดู,sehen,duu,Verb,"Basics,A1",1,ฉันดูทีวี,Ich sehe fern.
ฟัง,hören,fang,Verb,"Basics,A1",1,ฉันฟังเพลง,Ich höre Musik.
ซื้อ,kaufen,sue,Verb,"Shopping,A1",1,ฉันซื้อของ,Ich kaufe Reis.
ทำงาน,arbeiten,tham-ngaan,Verb,"Work,A1",1,ฉันทำงานที่นี่,Ich arbeite hier.
พัก,ausruhen,phak,Verb,"Basics,A1",1,ฉันพักผ่อน,Ich ruhe mich aus.
เดิน,zu Fuß gehen,dern,Verb,"Basics,A1",1,ฉันเดินเร็ว,Ich gehe schnell.
เงิน,Geld,ngoen,Nomen,"Basics,A1",1,มีเงิน,Geld haben.
เวลา,Zeit,welaa,Nomen,"Basics,A1",1,ไม่มีเวลา,Keine Zeit.
วัน,Tag,wan,Nomen,"Basics,A1",1,วันนี้เป็นวันที่ดี,Heute ist ein schöner Tag.
